Time (s),Area Above Baseline (mV·s),Group,Trial_ID
59,-14.09200623,Opsin,140524_F1_C1_t1
59.2,-13.37753479,Opsin,140524_F1_C1_t1
59.4,-13.71322296,Opsin,140524_F1_C1_t1
59.6,-14.23047852,Opsin,140524_F1_C1_t1
59.8,-14.31990906,Opsin,140524_F1_C1_t1
60,-14.31127472,Opsin,140524_F1_C1_t1
60.2,-14.31527954,Opsin,140524_F1_C1_t1
60.4,-13.6256134,Opsin,140524_F1_C1_t1
60.6,-13.70279266,Opsin,140524_F1_C1_t1
60.8,-14.17320618,Opsin,140524_F1_C1_t1
61,-14.30104889,Opsin,140524_F1_C1_t1
61.2,-14.28662689,Opsin,140524_F1_C1_t1
61.4,-14.16451233,Opsin,140524_F1_C1_t1
61.6,-14.1064743,Opsin,140524_F1_C1_t1
61.8,-14.21524323,Opsin,140524_F1_C1_t1
62,-14.18231628,Opsin,140524_F1_C1_t1
62.2,-14.17389374,Opsin,140524_F1_C1_t1
62.4,-14.19365356,Opsin,140524_F1_C1_t1
62.6,-13.23642151,Opsin,140524_F1_C1_t1
62.8,-13.44045105,Opsin,140524_F1_C1_t1
63,-14.04898102,Opsin,140524_F1_C1_t1
63.2,-14.22514252,Opsin,140524_F1_C1_t1
63.4,-14.27433594,Opsin,140524_F1_C1_t1
63.6,-14.2046402,Opsin,140524_F1_C1_t1
63.8,-14.23569885,Opsin,140524_F1_C1_t1
64,-14.17913605,Opsin,140524_F1_C1_t1
64.2,-14.21493164,Opsin,140524_F1_C1_t1
64.4,-14.2041452,Opsin,140524_F1_C1_t1
64.6,-14.17028595,Opsin,140524_F1_C1_t1
64.8,-14.16670715,Opsin,140524_F1_C1_t1
65,-14.21425934,Opsin,140524_F1_C1_t1
65.2,-13.46555847,Opsin,140524_F1_C1_t1
65.4,-13.59226105,Opsin,140524_F1_C1_t1
65.6,-14.1467868,Opsin,140524_F1_C1_t1
65.8,-14.21903412,Opsin,140524_F1_C1_t1
66,-14.24494537,Opsin,140524_F1_C1_t1
66.2,-14.20931213,Opsin,140524_F1_C1_t1
66.4,-14.07625488,Opsin,140524_F1_C1_t1
66.6,-13.87339722,Opsin,140524_F1_C1_t1
66.8,-13.20210846,Opsin,140524_F1_C1_t1
67,-13.39726257,Opsin,140524_F1_C1_t1
67.2,-13.95596405,Opsin,140524_F1_C1_t1
67.4,-14.24107391,Opsin,140524_F1_C1_t1
67.6,-14.27569519,Opsin,140524_F1_C1_t1
67.8,-14.27605072,Opsin,140524_F1_C1_t1
68,-14.31046021,Opsin,140524_F1_C1_t1
68.2,-14.23090454,Opsin,140524_F1_C1_t1
68.4,-14.05406952,Opsin,140524_F1_C1_t1
68.6,-14.1176593,Opsin,140524_F1_C1_t1
68.8,-14.30408081,Opsin,140524_F1_C1_t1
69,-14.29014099,Opsin,140524_F1_C1_t1
69.2,-13.90089081,Opsin,140524_F1_C1_t1
69.4,-13.33764069,Opsin,140524_F1_C1_t1
69.6,-13.72990692,Opsin,140524_F1_C1_t1
69.8,-14.19855377,Opsin,140524_F1_C1_t1
70,-14.24915405,Opsin,140524_F1_C1_t1
70.2,-14.32145538,Opsin,140524_F1_C1_t1
70.4,-14.21447937,Opsin,140524_F1_C1_t1
70.6,-14.00037476,Opsin,140524_F1_C1_t1
70.8,-13.36319183,Opsin,140524_F1_C1_t1
71,-13.51191132,Opsin,140524_F1_C1_t1
71.2,-14.1469281,Opsin,140524_F1_C1_t1
71.4,-14.26188263,Opsin,140524_F1_C1_t1
71.6,-14.28949799,Opsin,140524_F1_C1_t1
71.8,-14.32045471,Opsin,140524_F1_C1_t1
72,-14.28811493,Opsin,140524_F1_C1_t1
72.2,-14.17992737,Opsin,140524_F1_C1_t1
72.4,-14.27413025,Opsin,140524_F1_C1_t1
72.6,-14.24796753,Opsin,140524_F1_C1_t1
72.8,-14.18766418,Opsin,140524_F1_C1_t1
73,-13.68472198,Opsin,140524_F1_C1_t1
73.2,-13.28472961,Opsin,140524_F1_C1_t1
73.4,-13.84198914,Opsin,140524_F1_C1_t1
73.6,-14.19736267,Opsin,140524_F1_C1_t1
73.8,-14.26281464,Opsin,140524_F1_C1_t1
74,-14.22434204,Opsin,140524_F1_C1_t1
74.2,-14.04781372,Opsin,140524_F1_C1_t1
74.4,-14.13005676,Opsin,140524_F1_C1_t1
74.6,-14.24367706,Opsin,140524_F1_C1_t1
74.8,-14.20143005,Opsin,140524_F1_C1_t1
75,-14.24438446,Opsin,140524_F1_C1_t1
75.2,-13.2082782,Opsin,140524_F1_C1_t1
75.4,-13.32472504,Opsin,140524_F1_C1_t1
75.6,-13.99501526,Opsin,140524_F1_C1_t1
75.8,-14.20659729,Opsin,140524_F1_C1_t1
76,-14.2402478,Opsin,140524_F1_C1_t1
76.2,-14.25882629,Opsin,140524_F1_C1_t1
76.4,-14.09810394,Opsin,140524_F1_C1_t1
76.6,-14.04803009,Opsin,140524_F1_C1_t1
76.8,-14.22335815,Opsin,140524_F1_C1_t1
77,-14.21647919,Opsin,140524_F1_C1_t1
77.2,-13.43942902,Opsin,140524_F1_C1_t1
77.4,-13.24865967,Opsin,140524_F1_C1_t1
77.6,-13.75853088,Opsin,140524_F1_C1_t1
77.8,-14.1450827,Opsin,140524_F1_C1_t1
78,-14.18349915,Opsin,140524_F1_C1_t1
78.2,-14.21074127,Opsin,140524_F1_C1_t1
78.4,-14.2377655,Opsin,140524_F1_C1_t1
78.6,-14.23623871,Opsin,140524_F1_C1_t1
78.8,-14.25381958,Opsin,140524_F1_C1_t1
79,-14.08691315,Opsin,140524_F1_C1_t1
79.2,-14.00436432,Opsin,140524_F1_C1_t1
79.4,-13.45582794,Opsin,140524_F1_C1_t1
79.6,-13.16042877,Opsin,140524_F1_C1_t1
79.8,-13.72842438,Opsin,140524_F1_C1_t1
80,-14.10469574,Opsin,140524_F1_C1_t1
80.2,-14.20086853,Opsin,140524_F1_C1_t1
80.4,-14.18189972,Opsin,140524_F1_C1_t1
80.6,-14.16638428,Opsin,140524_F1_C1_t1
80.8,-13.42090332,Opsin,140524_F1_C1_t1
81,-13.75508453,Opsin,140524_F1_C1_t1
81.2,-14.16146179,Opsin,140524_F1_C1_t1
81.4,-14.18193695,Opsin,140524_F1_C1_t1
81.6,-14.20912109,Opsin,140524_F1_C1_t1
81.8,-14.22662964,Opsin,140524_F1_C1_t1
82,-14.24907135,Opsin,140524_F1_C1_t1
82.2,-14.23043488,Opsin,140524_F1_C1_t1
82.4,-13.83178864,Opsin,140524_F1_C1_t1
82.6,-13.35494781,Opsin,140524_F1_C1_t1
82.8,-13.86649994,Opsin,140524_F1_C1_t1
83,-14.13910461,Opsin,140524_F1_C1_t1
83.2,-14.17425903,Opsin,140524_F1_C1_t1
83.4,-14.10603271,Opsin,140524_F1_C1_t1
83.6,-14.09858582,Opsin,140524_F1_C1_t1
83.8,-14.08858887,Opsin,140524_F1_C1_t1
84,-14.17597412,Opsin,140524_F1_C1_t1
84.2,-13.71010956,Opsin,140524_F1_C1_t1
84.4,-13.37359161,Opsin,140524_F1_C1_t1
84.6,-13.92155701,Opsin,140524_F1_C1_t1
84.8,-14.18723114,Opsin,140524_F1_C1_t1
85,-14.20556305,Opsin,140524_F1_C1_t1
85.2,-14.17356201,Opsin,140524_F1_C1_t1
85.4,-14.17537781,Opsin,140524_F1_C1_t1
85.6,-14.10502899,Opsin,140524_F1_C1_t1
85.8,-13.64975586,Opsin,140524_F1_C1_t1
86,-13.37212982,Opsin,140524_F1_C1_t1
86.2,-13.70430298,Opsin,140524_F1_C1_t1
86.4,-14.09904144,Opsin,140524_F1_C1_t1
86.6,-14.23835815,Opsin,140524_F1_C1_t1
86.8,-14.22327972,Opsin,140524_F1_C1_t1
87,-14.2649646,Opsin,140524_F1_C1_t1
87.2,-14.21440338,Opsin,140524_F1_C1_t1
87.4,-14.12548248,Opsin,140524_F1_C1_t1
87.6,-14.03362396,Opsin,140524_F1_C1_t1
